Id,Name,DisplayName,Description,Type,Category,Price,Edibility,IsDrink,SpriteIndex,CanBeGivenAsGift,CanBeTrashed,ExcludeFromShippingCollection,ContextTags
38,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,38,True,True,False,
40,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,40,True,True,False,
42,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,42,True,True,False,
44,Stone,[LocalizedText Strings\Objects:GemStone_Name],[LocalizedText Strings\Objects:GemStone_Description],Litter,-999,0,-300,False,44,True,True,False,
46,Stone,[LocalizedText Strings\Objects:MysticStone_Name],[LocalizedText Strings\Objects:MysticStone_Description],Litter,-999,0,-300,False,46,True,True,False,
48,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,48,True,True,False,
50,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,50,True,True,False,
52,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,52,True,True,False,
54,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,54,True,True,False,
56,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,56,True,True,False,
58,Stone,[LocalizedText Strings\Objects:SnowyStone_Name],[LocalizedText Strings\Objects:SnowyStone_Description],Litter,-999,0,-300,False,58,True,True,False,
60,Emerald,[LocalizedText Strings\Objects:Emerald_Name],[LocalizedText Strings\Objects:Emerald_Description],Minerals,-2,250,-300,False,60,True,True,False,color_green
62,Aquamarine,[LocalizedText Strings\Objects:Aquamarine_Name],[LocalizedText Strings\Objects:Aquamarine_Description],Minerals,-2,180,-300,False,62,True,True,False,color_aquamarine
64,Ruby,[LocalizedText Strings\Objects:Ruby_Name],[LocalizedText Strings\Objects:Ruby_Description],Minerals,-2,250,-300,False,64,True,True,False,color_red
66,Amethyst,[LocalizedText Strings\Objects:Amethyst_Name],[LocalizedText Strings\Objects:Amethyst_Description],Minerals,-2,100,-300,False,66,True,True,False,color_purple
68,Topaz,[LocalizedText Strings\Objects:Topaz_Name],[LocalizedText Strings\Objects:Topaz_Description],Minerals,-2,80,-300,False,68,True,True,False,color_gold
69,Banana Sapling,[LocalizedText Strings\Objects:BananaSapling_Name],[LocalizedText Strings\Objects:BananaSapling_Description],Basic,-74,850,-300,False,69,True,True,False,
70,Jade,[LocalizedText Strings\Objects:Jade_Name],[LocalizedText Strings\Objects:Jade_Description],Minerals,-2,200,-300,False,70,True,True,False,color_jade
71,Trimmed Lucky Purple Shorts,[LocalizedText Strings\Objects:TrimmedLuckyPurpleShorts_Name],[LocalizedText Strings\Objects:TrimmedLuckyPurpleShorts_Description],Quest,0,0,-300,False,71,True,True,False,
72,Diamond,[LocalizedText Strings\Objects:Diamond_Name],[LocalizedText Strings\Objects:Diamond_Description],Minerals,-2,750,-300,False,72,True,True,False,color_white
73,Golden Walnut,[LocalizedText Strings\Objects:GoldenWalnut_Name],[LocalizedText Strings\Objects:GoldenWalnut_Description],Basic,0,250,-300,False,73,True,True,False,
74,Prismatic Shard,[LocalizedText Strings\Objects:PrismaticShard_Name],[LocalizedText Strings\Objects:PrismaticShard_Description],Minerals,-2,2000,-300,False,74,True,True,False,"color_prismatic,crystalarium_banned"
75,Stone,[LocalizedText Strings\Objects:GeodeStone_Name],[LocalizedText Strings\Objects:GeodeStone_Description],Litter,-999,0,-300,False,75,True,True,False,
76,Stone,[LocalizedText Strings\Objects:FrozenGeodeStone_Name],[LocalizedText Strings\Objects:FrozenGeodeStone_Description],Litter,-999,0,-300,False,76,True,True,False,
77,Stone,[LocalizedText Strings\Objects:MagmaGeodeStone_Name],[LocalizedText Strings\Objects:MagmaGeodeStone_Description],Litter,-999,0,-300,False,77,True,True,False,
78,Cave Carrot,[LocalizedText Strings\Objects:CaveCarrot_Name],[LocalizedText Strings\Objects:CaveCarrot_Description],Basic,-81,25,12,False,78,True,True,False,"color_brown,forage_item,forage_item_mines,season_all"
79,Secret Note,[LocalizedText Strings\Objects:SecretNote_Name],[LocalizedText Strings\Objects:SecretNote_Description],asdf,0,1,-300,False,79,True,True,False,
80,Quartz,[LocalizedText Strings\Objects:Quartz_Name],[LocalizedText Strings\Objects:Quartz_Description],Minerals,-2,25,-300,False,80,True,True,False,color_white
82,Fire Quartz,[LocalizedText Strings\Objects:FireQuartz_Name],[LocalizedText Strings\Objects:FireQuartz_Description],Minerals,-2,100,-300,False,82,True,True,False,color_red
84,Frozen Tear,[LocalizedText Strings\Objects:FrozenTear_Name],[LocalizedText Strings\Objects:FrozenTear_Description],Minerals,-2,75,-300,False,84,True,True,False,color_cyan
86,Earth Crystal,[LocalizedText Strings\Objects:EarthCrystal_Name],[LocalizedText Strings\Objects:EarthCrystal_Description],Minerals,-2,50,-300,False,86,True,True,False,color_copper
88,Coconut,[LocalizedText Strings\Objects:Coconut_Name],[LocalizedText Strings\Objects:Coconut_Description],Basic,-79,100,-300,False,88,True,True,False,"color_dark_brown,forage_item,forage_item_desert,season_all"
90,Cactus Fruit,[LocalizedText Strings\Objects:CactusFruit_Name],[LocalizedText Strings\Objects:CactusFruit_Description],Basic,-79,75,30,False,90,True,True,False,"color_green,forage_item,forage_item_desert"
91,Banana,[LocalizedText Strings\Objects:Banana_Name],[LocalizedText Strings\Objects:Banana_Description],Basic,-79,150,30,False,91,True,True,False,"color_yellow,fruit_item,fruit_tree_item"
92,Sap,[LocalizedText Strings\Objects:Sap_Name],[LocalizedText Strings\Objects:Sap_Description],Basic,-81,2,-1,False,92,True,True,False,color_yellow
93,Torch,[LocalizedText Strings\Objects:Torch_Name],[LocalizedText Strings\Objects:Torch_Description],Crafting,0,5,-300,False,93,True,True,False,"color_yellow,light_source,torch_item"
94,Spirit Torch,[LocalizedText Strings\Objects:SpiritTorch_Name],[LocalizedText Strings\Objects:SpiritTorch_Description],Crafting,0,5,-300,False,94,True,True,False,"color_light_cyan,light_source,torch_item"
95,Stone,[LocalizedText Strings\Objects:RadioactiveStone_Name],[LocalizedText Strings\Objects:RadioactiveStone_Description],Litter,-999,0,-300,False,95,True,True,False,
96,Dwarf Scroll I,[LocalizedText Strings\Objects:DwarfScrollI_Name],[LocalizedText Strings\Objects:DwarfScrollI_Description],Arch,0,1,-300,False,96,True,True,False,"color_red,dye_strong,scroll_item"
97,Dwarf Scroll II,[LocalizedText Strings\Objects:DwarfScrollII_Name],[LocalizedText Strings\Objects:DwarfScrollII_Description],Arch,0,1,-300,False,97,True,True,False,"color_green,dye_strong,scroll_item"
98,Dwarf Scroll III,[LocalizedText Strings\Objects:DwarfScrollIII_Name],[LocalizedText Strings\Objects:DwarfScrollIII_Description],Arch,0,1,-300,False,98,True,True,False,"color_blue,dye_strong,scroll_item"
99,Dwarf Scroll IV,[LocalizedText Strings\Objects:DwarfScrollIV_Name],[LocalizedText Strings\Objects:DwarfScrollIV_Description],Arch,0,1,-300,False,99,True,True,False,"color_yellow,dye_strong,scroll_item"
100,Chipped Amphora,[LocalizedText Strings\Objects:ChippedAmphora_Name],[LocalizedText Strings\Objects:ChippedAmphora_Description],Arch,0,40,-300,False,100,True,True,False,"ancient_item,ceramic_item,color_brown,dye_strong"
101,Arrowhead,[LocalizedText Strings\Objects:Arrowhead_Name],[LocalizedText Strings\Objects:Arrowhead_Description],Arch,0,40,-300,False,101,True,True,False,"color_gray,dye_strong,hunting_item"
102,Lost Book,[LocalizedText Strings\Objects:LostBook_Name],[LocalizedText Strings\Objects:LostBook_Description],asdf,0,0,-300,False,102,True,True,False,book_item
103,Ancient Doll,[LocalizedText Strings\Objects:AncientDoll_Name],[LocalizedText Strings\Objects:AncientDoll_Description],Arch,0,60,-300,False,103,True,True,False,"color_blue,doll_item,dye_strong,toy_item"
104,Elvish Jewelry,[LocalizedText Strings\Objects:ElvishJewelry_Name],[LocalizedText Strings\Objects:ElvishJewelry_Description],Arch,0,200,-300,False,104,True,True,False,"color_yellow,dye_strong,elvish_item"
105,Chewing Stick,[LocalizedText Strings\Objects:ChewingStick_Name],[LocalizedText Strings\Objects:ChewingStick_Description],Arch,0,50,-300,False,105,True,True,False,"ancient_item,color_brown,dye_strong"
106,Ornamental Fan,[LocalizedText Strings\Objects:OrnamentalFan_Name],[LocalizedText Strings\Objects:OrnamentalFan_Description],Arch,0,300,-300,False,106,True,True,False,"color_white,dye_strong,noble_item"
107,Dinosaur Egg,[LocalizedText Strings\Objects:DinosaurEgg_Name],[LocalizedText Strings\Objects:DinosaurEgg_Description],Arch,0,350,-300,False,107,True,True,False,"color_green,dinosaur_item,dye_strong,egg_item"
108,Rare Disc,[LocalizedText Strings\Objects:RareDisc_Name],[LocalizedText Strings\Objects:RareDisc_Description],Arch,0,300,-300,False,108,True,True,False,"color_dark_gray,dye_strong"
109,Ancient Sword,[LocalizedText Strings\Objects:AncientSword_Name],[LocalizedText Strings\Objects:AncientSword_Description],Arch,0,100,-300,False,109,True,True,False,"ancient_item,color_gray,dye_strong"
110,Rusty Spoon,[LocalizedText Strings\Objects:RustySpoon_Name],[LocalizedText Strings\Objects:RustySpoon_Description],Arch,0,25,-300,False,110,True,True,False,"color_gray,cooking_item,dye_strong"
111,Rusty Spur,[LocalizedText Strings\Objects:RustySpur_Name],[LocalizedText Strings\Objects:RustySpur_Description],Arch,0,25,-300,False,111,True,True,False,"color_brown,cowboy_item,dye_strong"
112,Rusty Cog,[LocalizedText Strings\Objects:RustyCog_Name],[LocalizedText Strings\Objects:RustyCog_Description],Arch,0,25,-300,False,112,True,True,False,"color_brown,dye_strong,machine_item"
113,Chicken Statue,[LocalizedText Strings\Objects:ChickenStatue_Name],[LocalizedText Strings\Objects:ChickenStatue_Description],Arch,0,50,-300,False,113,True,True,False,"chicken_item,color_sand,dye_strong,statue_item"
114,Ancient Seed,[LocalizedText Strings\Objects:AncientSeed_Name],[LocalizedText Strings\Objects:AncientSeed_Description],Arch,0,5,-300,False,114,True,True,False,
115,Prehistoric Tool,[LocalizedText Strings\Objects:PrehistoricTool_Name],[LocalizedText Strings\Objects:PrehistoricTool_Description],Arch,0,50,-300,False,115,True,True,False,"color_gray,dye_strong,prehistoric_item"
116,Dried Starfish,[LocalizedText Strings\Objects:DriedStarfish_Name],[LocalizedText Strings\Objects:DriedStarfish_Description],Arch,0,40,-300,False,116,True,True,False,"color_yellow,dye_strong,marine_item"
117,Anchor,[LocalizedText Strings\Objects:Anchor_Name],[LocalizedText Strings\Objects:Anchor_Description],Arch,0,100,-300,False,117,True,True,False,"color_gray,dye_strong,marine_item"
118,Glass Shards,[LocalizedText Strings\Objects:GlassShards_Name],[LocalizedText Strings\Objects:GlassShards_Description],Arch,0,20,-300,False,118,True,True,False,"color_cyan,dye_strong"
119,Bone Flute,[LocalizedText Strings\Objects:BoneFlute_Name],[LocalizedText Strings\Objects:BoneFlute_Description],Arch,0,100,-300,False,119,True,True,False,"bone_item,color_sand,dye_strong,instrument_item,prehistoric_item"
120,Prehistoric Handaxe,[LocalizedText Strings\Objects:PrehistoricHandaxe_Name],[LocalizedText Strings\Objects:PrehistoricHandaxe_Description],Arch,0,50,-300,False,120,True,True,False,"color_gray,dye_strong,prehistoric_item"
121,Dwarvish Helm,[LocalizedText Strings\Objects:DwarvishHelm_Name],[LocalizedText Strings\Objects:DwarvishHelm_Description],Arch,0,100,-300,False,121,True,True,False,"color_brown,dwarvish_item,dye_strong"
122,Dwarf Gadget,[LocalizedText Strings\Objects:DwarfGadget_Name],[LocalizedText Strings\Objects:DwarfGadget_Description],Arch,0,200,-300,False,122,True,True,False,"color_gray,dwarvish_item,dye_strong,machine_item"
123,Ancient Drum,[LocalizedText Strings\Objects:AncientDrum_Name],[LocalizedText Strings\Objects:AncientDrum_Description],Arch,0,100,-300,False,123,True,True,False,"ancient_item,color_purple,dye_strong,instrument_item"
124,Golden Mask,[LocalizedText Strings\Objects:GoldenMask_Name],[LocalizedText Strings\Objects:GoldenMask_Description],Arch,0,500,-300,False,124,True,True,False,"color_gold,dye_strong,golden_relic_item"
125,Golden Relic,[LocalizedText Strings\Objects:GoldenRelic_Name],[LocalizedText Strings\Objects:GoldenRelic_Description],Arch,0,250,-300,False,125,True,True,False,"color_gold,dye_strong,golden_relic_item"
126,Strange Doll,[LocalizedText Strings\Objects:StrangeDoll_Name],[LocalizedText Strings\Objects:StrangeDoll_Description],Arch,0,1000,-300,False,126,True,True,False,"color_green,doll_item,dye_strong,strange_doll_1"
127,Strange Doll,[LocalizedText Strings\Objects:StrangeDoll_Name],[LocalizedText Strings\Objects:StrangeDoll_Description],Arch,0,1000,-300,False,127,True,True,False,"color_yellow,doll_item,dye_strong,strange_doll_2"
128,Pufferfish,[LocalizedText Strings\Objects:Pufferfish_Name],[LocalizedText Strings\Objects:Pufferfish_Description],Fish,-4,200,-40,False,128,True,True,False,"color_yellow,fish_has_roe,fish_ocean,fish_upright,season_summer"
129,Anchovy,[LocalizedText Strings\Objects:Anchovy_Name],[LocalizedText Strings\Objects:Anchovy_Description],Fish,-4,30,5,False,129,True,True,False,"color_blue,fish_has_roe,fish_ocean,fish_talk_demanding,season_fall,season_spring"
130,Tuna,[LocalizedText Strings\Objects:Tuna_Name],[LocalizedText Strings\Objects:Tuna_Description],Fish,-4,100,15,False,130,True,True,False,"color_blue,fish_has_roe,fish_ocean,season_summer,season_winter"
131,Sardine,[LocalizedText Strings\Objects:Sardine_Name],[LocalizedText Strings\Objects:Sardine_Description],Fish,-4,40,5,False,131,True,True,False,"color_blue,fish_has_roe,fish_ocean,fish_talk_demanding,season_fall,season_spring,season_winter"
132,Bream,[LocalizedText Strings\Objects:Bream_Name],[LocalizedText Strings\Objects:Bream_Description],Fish,-4,45,5,False,132,True,True,False,"color_blue,fish_has_roe,fish_river,season_all"
136,Largemouth Bass,[LocalizedText Strings\Objects:LargemouthBass_Name],[LocalizedText Strings\Objects:LargemouthBass_Description],Fish,-4,100,15,False,136,True,True,False,"color_green,fish_has_roe,fish_lake,season_all"
137,Smallmouth Bass,[LocalizedText Strings\Objects:SmallmouthBass_Name],[LocalizedText Strings\Objects:SmallmouthBass_Description],Fish,-4,50,10,False,137,True,True,False,"color_brown,fish_has_roe,fish_pond,fish_river,season_fall,season_spring"
138,Rainbow Trout,[LocalizedText Strings\Objects:RainbowTrout_Name],[LocalizedText Strings\Objects:RainbowTrout_Description],Fish,-4,65,10,False,138,True,True,False,"color_orange,fish_has_roe,fish_river,season_summer"
139,Salmon,[LocalizedText Strings\Objects:Salmon_Name],[LocalizedText Strings\Objects:Salmon_Description],Fish,-4,75,15,False,139,True,True,False,"color_salmon,fish_has_roe,fish_river,season_fall"
140,Walleye,[LocalizedText Strings\Objects:Walleye_Name],[LocalizedText Strings\Objects:Walleye_Description],Fish,-4,105,12,False,140,True,True,False,"color_yellow,fish_has_roe,fish_lake,fish_pond,fish_river,season_fall,season_winter"
141,Perch,[LocalizedText Strings\Objects:Perch_Name],[LocalizedText Strings\Objects:Perch_Description],Fish,-4,55,10,False,141,True,True,False,"color_yellow,fish_has_roe,fish_lake,fish_pond,fish_river,season_winter"
142,Carp,[LocalizedText Strings\Objects:Carp_Name],[LocalizedText Strings\Objects:Carp_Description],Fish,-4,30,5,False,142,True,True,False,"color_yellow,fish_has_roe,fish_lake,fish_secret_pond,fish_sewers,season_fall,season_spring,season_winter"
143,Catfish,[LocalizedText Strings\Objects:Catfish_Name],[LocalizedText Strings\Objects:Catfish_Description],Fish,-4,200,20,False,143,True,True,False,"color_gray,fish_has_roe,fish_river,fish_secret_pond,fish_swamp,season_fall,season_spring,season_summer"
144,Pike,[LocalizedText Strings\Objects:Pike_Name],[LocalizedText Strings\Objects:Pike_Description],Fish,-4,100,15,False,144,True,True,False,"color_yellow,fish_carnivorous,fish_has_roe,fish_pond,fish_river,season_summer,season_winter"
145,Sunfish,[LocalizedText Strings\Objects:Sunfish_Name],[LocalizedText Strings\Objects:Sunfish_Description],Fish,-4,30,5,False,145,True,True,False,"color_orange,fish_has_roe,fish_river,season_spring,season_summer"
146,Red Mullet,[LocalizedText Strings\Objects:RedMullet_Name],[LocalizedText Strings\Objects:RedMullet_Description],Fish,-4,75,10,False,146,True,True,False,"color_red,fish_has_roe,fish_ocean,season_summer,season_winter"
147,Herring,[LocalizedText Strings\Objects:Herring_Name],[LocalizedText Strings\Objects:Herring_Description],Fish,-4,30,5,False,147,True,True,False,"color_blue,fish_has_roe,fish_ocean,fish_talk_demanding,season_spring,season_winter"
148,Eel,[LocalizedText Strings\Objects:Eel_Name],[LocalizedText Strings\Objects:Eel_Description],Fish,-4,85,12,False,148,True,True,False,"color_copper,fish_has_roe,fish_ocean,fish_talk_rude,fish_upright,season_fall,season_spring"
149,Octopus,[LocalizedText Strings\Objects:Octopus_Name],[LocalizedText Strings\Objects:Octopus_Description],Fish,-4,150,-300,False,149,True,True,False,"color_orange,fish_has_roe,fish_ocean,fish_upright,season_summer"
150,Red Snapper,[LocalizedText Strings\Objects:RedSnapper_Name],[LocalizedText Strings\Objects:RedSnapper_Description],Fish,-4,50,10,False,150,True,True,False,"color_red,fish_has_roe,fish_ocean,season_fall,season_summer,season_winter"
151,Squid,[LocalizedText Strings\Objects:Squid_Name],[LocalizedText Strings\Objects:Squid_Description],Fish,-4,80,10,False,151,True,True,False,"color_white,fish_has_roe,fish_ocean,fish_upright,season_winter"
152,Seaweed,[LocalizedText Strings\Objects:Seaweed_Name],[LocalizedText Strings\Objects:Seaweed_Description],Fish,0,20,5,False,152,True,True,False,"color_green,fish_nonfish"
153,Green Algae,[LocalizedText Strings\Objects:GreenAlgae_Name],[LocalizedText Strings\Objects:GreenAlgae_Description],Fish,0,15,5,False,153,True,True,False,"algae_item,color_dark_green,fish_nonfish,use_reverse_name_for_sorting"
154,Sea Cucumber,[LocalizedText Strings\Objects:SeaCucumber_Name],[LocalizedText Strings\Objects:SeaCucumber_Description],Fish,-4,75,-10,False,154,True,True,False,"color_yellow,fish_has_roe,fish_ocean,fish_upright,season_fall,season_winter"
155,Super Cucumber,[LocalizedText Strings\Objects:SuperCucumber_Name],[LocalizedText Strings\Objects:SuperCucumber_Description],Fish,-4,250,50,False,155,True,True,False,"color_purple,fish_has_roe,fish_ocean,fish_upright,season_fall,season_summer"
156,Ghostfish,[LocalizedText Strings\Objects:Ghostfish_Name],[LocalizedText Strings\Objects:Ghostfish_Description],Fish,-4,45,15,False,156,True,True,False,"color_white,fish_has_roe,fish_mines,season_all"
157,White Algae,[LocalizedText Strings\Objects:WhiteAlgae_Name],[LocalizedText Strings\Objects:WhiteAlgae_Description],Fish,0,25,8,False,157,True,True,False,"algae_item,color_white,fish_nonfish,use_reverse_name_for_sorting"
158,Stonefish,[LocalizedText Strings\Objects:Stonefish_Name],[LocalizedText Strings\Objects:Stonefish_Description],Fish,-4,300,-300,False,158,True,True,False,"color_brown,fish_has_roe,fish_mines,fish_semi_rare,fish_upright,season_all"
159,Crimsonfish,[LocalizedText Strings\Objects:Crimsonfish_Name],[LocalizedText Strings\Objects:Crimsonfish_Description],Fish,-4,1500,15,False,159,True,True,False,"color_red,fish_has_roe,fish_legendary"
160,Angler,[LocalizedText Strings\Objects:Angler_Name],[LocalizedText Strings\Objects:Angler_Description],Fish,-4,900,10,False,160,True,True,False,"color_yellow,fish_has_roe,fish_legendary,fish_upright"
161,Ice Pip,[LocalizedText Strings\Objects:IcePip_Name],[LocalizedText Strings\Objects:IcePip_Description],Fish,-4,500,15,False,161,True,True,False,"color_blue,fish_has_roe,fish_mines,fish_semi_rare,fish_talk_demanding,season_all"
162,Lava Eel,[LocalizedText Strings\Objects:LavaEel_Name],[LocalizedText Strings\Objects:LavaEel_Description],Fish,-4,700,20,False,162,True,True,False,"color_red,fish_has_roe,fish_mines,fish_semi_rare,fish_upright,season_all"
163,Legend,[LocalizedText Strings\Objects:Legend_Name],[LocalizedText Strings\Objects:Legend_Description],Fish,-4,5000,200,False,163,True,True,False,"color_green,fish_has_roe,fish_legendary"
164,Sandfish,[LocalizedText Strings\Objects:Sandfish_Name],[LocalizedText Strings\Objects:Sandfish_Description],Fish,-4,75,5,False,164,True,True,False,"color_yellow,fish_desert,fish_has_roe,season_all"
165,Scorpion Carp,[LocalizedText Strings\Objects:ScorpionCarp_Name],[LocalizedText Strings\Objects:ScorpionCarp_Description],Fish,-4,150,-50,False,165,True,True,False,"color_brown,fish_desert,fish_has_roe,fish_semi_rare,season_all"
166,Treasure Chest,[LocalizedText Strings\Objects:TreasureChest_Name],[LocalizedText Strings\Objects:TreasureChest_Description],Basic,0,5000,-300,False,166,True,True,False,color_yellow
167,Joja Cola,[LocalizedText Strings\Objects:JojaCola_Name],[LocalizedText Strings\Objects:JojaCola_Description],Fish,-20,25,5,True,167,True,True,False,"color_blue,drink_item"
168,Trash,[LocalizedText Strings\Objects:Trash_Name],[LocalizedText Strings\Objects:Trash_Description],Fish,-20,0,-300,False,168,True,True,False,"color_black,trash_item"
169,Driftwood,[LocalizedText Strings\Objects:Driftwood_Name],[LocalizedText Strings\Objects:Driftwood_Description],Fish,-20,0,-300,False,169,True,True,False,"color_brown,trash_item,wood_item"
170,Broken Glasses,[LocalizedText Strings\Objects:BrokenGlasses_Name],[LocalizedText Strings\Objects:BrokenGlasses_Description],Fish,-20,0,-300,False,170,True,True,False,"color_cyan,trash_item"
171,Broken CD,[LocalizedText Strings\Objects:BrokenCD_Name],[LocalizedText Strings\Objects:BrokenCD_Description],Fish,-20,0,-300,False,171,True,True,False,"color_cyan,trash_item"
172,Soggy Newspaper,[LocalizedText Strings\Objects:SoggyNewspaper_Name],[LocalizedText Strings\Objects:SoggyNewspaper_Description],Fish,-20,0,-300,False,172,True,True,False,"color_gray,trash_item"
174,Large Egg,[LocalizedText Strings\Objects:LargeWhiteEgg_Name],[LocalizedText Strings\Objects:LargeWhiteEgg_Description],Basic,-5,95,15,False,174,True,True,False,"color_white,egg_item,large_egg_item"
176,Egg,[LocalizedText Strings\Objects:WhiteEgg_Name],[LocalizedText Strings\Objects:WhiteEgg_Description],Basic,-5,50,10,False,176,True,True,False,"color_white,egg_item"
178,Hay,[LocalizedText Strings\Objects:Hay_Name],[LocalizedText Strings\Objects:Hay_Description],Basic,0,0,-300,False,178,True,True,False,color_yellow
180,Egg,[LocalizedText Strings\Objects:BrownEgg_Name],[LocalizedText Strings\Objects:BrownEgg_Description],Basic,-5,50,10,False,180,True,True,False,"color_white,egg_item"
182,Large Egg,[LocalizedText Strings\Objects:LargeBrownEgg_Name],[LocalizedText Strings\Objects:LargeBrownEgg_Description],Basic,-5,95,15,False,182,True,True,False,"color_white,egg_item,large_egg_item"
184,Milk,[LocalizedText Strings\Objects:Milk_Name],[LocalizedText Strings\Objects:Milk_Description],Basic,-6,125,15,True,184,True,True,False,"color_white,cow_milk_item,drink_item,milk_item"
186,Large Milk,[LocalizedText Strings\Objects:LargeMilk_Name],[LocalizedText Strings\Objects:LargeMilk_Description],Basic,-6,190,20,True,186,True,True,False,"color_white,cow_milk_item,drink_item,large_milk_item,milk_item"
188,Green Bean,[LocalizedText Strings\Objects:GreenBean_Name],[LocalizedText Strings\Objects:GreenBean_Description],Basic,-75,40,10,False,188,True,True,False,"color_green,dye_medium,season_spring"
190,Cauliflower,[LocalizedText Strings\Objects:Cauliflower_Name],[LocalizedText Strings\Objects:Cauliflower_Description],Basic,-75,175,30,False,190,True,True,False,"color_white,dye_medium,season_spring"
191,Ornate Necklace,[LocalizedText Strings\Objects:OrnateNecklace_Name],[LocalizedText Strings\Objects:OrnateNecklace_Description],Quest,0,0,-300,False,191,True,True,False,
192,Potato,[LocalizedText Strings\Objects:Potato_Name],[LocalizedText Strings\Objects:Potato_Description],Basic,-75,80,10,False,192,True,True,False,"color_brown,dye_medium,season_spring"
194,Fried Egg,[LocalizedText Strings\Objects:FriedEgg_Name],[LocalizedText Strings\Objects:FriedEgg_Description],Cooking,-7,35,20,False,194,True,True,False,"color_white,food_breakfast"
195,Omelet,[LocalizedText Strings\Objects:Omelet_Name],[LocalizedText Strings\Objects:Omelet_Description],Cooking,-7,125,40,False,195,True,True,False,"color_white,food_breakfast"
